guid,German,German Definition,German Example,English,English Example,tags
,"das Gerät, -e",,,,,Lektion_3 Einstieg
,"das Medium, -ien",,,,,Lektion_3 Einstieg
,"die Nutzung, -en",,,,,Lektion_3 Einstieg
,benutzen,,,,,Lektion_3 Einstieg
,nutzen,,,,,Lektion_3 Einstieg
,"die Buchhändlerin, -nen",,,,,Lektion_3 Sehen_und_Hören
,"die Lesung, -en",,,,,Lektion_3 Sehen_und_Hören
,"die Neuheit, -en",,,,,Lektion_3 Sehen_und_Hören
,"das Sachbuch, -¨er",,,,,Lektion_3 Sehen_und_Hören
,"die Sitzgelegenheit, -en",,,,,Lektion_3 Sehen_und_Hören
,"der Stammkunde, -n",,,,,Lektion_3 Sehen_und_Hören
,animieren zu,,,,,Lektion_3 Sehen_und_Hören
,beurteilen,,,,,Lektion_3 Sehen_und_Hören
,quatschen,,,,,Lektion_3 Sehen_und_Hören
,angenommen werden,,,,,Lektion_3 Sehen_und_Hören
,verführerisch,,,,,Lektion_3 Sehen_und_Hören
,"die Aufnahme, -n",,,,,Lektion_3 Schreiben
,"die Luftaufnahme, -n",,,,,Lektion_3 Schreiben
,"der Bildband, -¨e",,,,,Lektion_3 Schreiben
,"die Leseratte, -n",,,,,Lektion_3 Schreiben
,anrühren,,,,,Lektion_3 Schreiben
,"greifen zu, griff zu, hat zugegriffen",,,,,Lektion_3 Schreiben
,jedermanns Sache sein,,,,,Lektion_3 Schreiben
,"die Auflage, -n",,,,,Lektion_3 Lesen_1
,"die Befürchtung, -en",,,,,Lektion_3 Lesen_1
,"die Branche, -n",,,,,Lektion_3 Lesen_1
,das Geschehen (Sg.),,,,,Lektion_3 Lesen_1
,"die / der Gleichaltrige, -n",,,,,Lektion_3 Lesen_1
,"die / der Heranwachsende, -n",,,,,Lektion_3 Lesen_1
,"das Nachrichtenmagazin, -e",,,,,Lektion_3 Lesen_1
,die Popularität (Sg.),,,,,Lektion_3 Lesen_1
,"das Printmedium, -ien",,,,,Lektion_3 Lesen_1
,"die Tagesordnung, -en",,,,,Lektion_3 Lesen_1
,an der Tagesordnung sein,,,,,Lektion_3 Lesen_1
,"das Vorbild, -er",,,,,Lektion_3 Lesen_1
,etwas ausbauen,,,,,Lektion_3 Lesen_1
,imitieren,,,,,Lektion_3 Lesen_1
,prägen,,,,,Lektion_3 Lesen_1
,etwas schätzen,,,,,Lektion_3 Lesen_1
,Wirkung zeigen,,,,,Lektion_3 Lesen_1
,rückläufig,,,,,Lektion_3 Lesen_1
,hierzulande,,,,,Lektion_3 Lesen_1
,zunehmend,,,,,Lektion_3 Lesen_1
,"der Dokumentarfilm, -e",,,,,Lektion_3 Wortschatz
,"der Hintergrund, -¨e",,,,,Lektion_3 Wortschatz
,"der Horrorfilm, -e",,,,,Lektion_3 Wortschatz
,"die Komödie, -n",,,,,Lektion_3 Wortschatz
,"die Literaturverfilmung, -en",,,,,Lektion_3 Wortschatz
,"die / der Prominente, -n",,,,,Lektion_3 Wortschatz
,"das Skript, -s/-e",,,,,Lektion_3 Wortschatz
,"die Vorlage, -n",,,,,Lektion_3 Wortschatz
,ableiten,,,,,Lektion_3 Wortschatz
,abwechslungsreich,,,,,Lektion_3 Wortschatz
,authentisch,,,,,Lektion_3 Wortschatz
,bilderreich,,,,,Lektion_3 Wortschatz
,gruselig,,,,,Lektion_3 Wortschatz
,handlungsarm,,,,,Lektion_3 Wortschatz
,humorvoll,,,,,Lektion_3 Wortschatz
,lehrreich,,,,,Lektion_3 Wortschatz
,reißerisch,,,,,Lektion_3 Wortschatz
,(un)sachlich,,,,,Lektion_3 Wortschatz
,turbulent,,,,,Lektion_3 Wortschatz
,unterhaltsam,,,,,Lektion_3 Wortschatz
,witzig,,,,,Lektion_3 Wortschatz
,"das Filmgenre, -s",,,,,Lektion_3 Hören_1
,"der Kommentar, -e",,,,,Lektion_3 Hören_1
,"unternehmen, unternahm, hat unternommen",,,,,Lektion_3 Hören_1
,einfühlsam,,,,,Lektion_3 Hören_1
,"die Großleinwand, -¨e",,,,,Lektion_3 Lesen_2
,"die Schwäche, -n",,,,,Lektion_3 Lesen_2
,"sich abheben von, hob ab, hab abgehoben",,,,,Lektion_3 Lesen_2
,anschaffen,,,,,Lektion_3 Lesen_2
,dahinterstecken,,,,,Lektion_3 Lesen_2
,starren,,,,,Lektion_3 Lesen_2
,verfolgen,,,,,Lektion_3 Lesen_2
,bemerkenswert,,,,,Lektion_3 Lesen_2
,großartig,,,,,Lektion_3 Lesen_2
,"das Kabel, -",,,,,Lektion_3 Hören_2
,"die Schicht, -en",,,,,Lektion_3 Hören_2
,"die Verspätung, -en",,,,,Lektion_3 Hören_2
,tauschen,,,,,Lektion_3 Hören_2
,die Komplexität (Sg.),,,,,Lektion_3 Sprechen
,die Logik (Sg.),,,,,Lektion_3 Sprechen
,"die Meldung, -en",,,,,Lektion_3 Sprechen
,"die Quelle, -n",,,,,Lektion_3 Sprechen
,erläutern,,,,,Lektion_3 Sprechen
,ansprechend,,,,,Lektion_3 Sprechen
,anspruchsvoll,,,,,Lektion_3 Sprechen
,bebildert,,,,,Lektion_3 Sprechen
,übersichtlich,,,,,Lektion_3 Sprechen
